# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9323
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -63.0029   94.8857
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      1.073580    -62.997300
      1.077840    -62.997300
      1.082100    -62.997200
      1.086361    -62.997200
      1.090621    -62.997200
      1.094881    -62.997100
      1.099141    -62.997100
      1.103402    -62.997100
      1.107662    -62.997100
      1.111922    -62.997000
      1.116182    -62.997000
      1.120443    -62.997000
      1.124703    -62.997000
      1.128963    -62.996900
      1.133223    -62.996900
      1.137484    -62.996900
      1.141744    -62.996900
      1.146004    -62.996900
      1.150264    -62.996800
      1.154524    -62.996800
      1.158785    -62.996800
      1.163045    -62.996800
      1.167305    -62.996800
      1.171565    -62.996700
      1.175826    -62.996700
      1.180086    -62.996700
      1.184346    -62.996700
      1.188606    -62.996700
      1.192867    -62.996700
      1.197127    -62.996600
      1.201387    -62.996600
      1.205647    -62.996600
      1.209908    -62.996600
      1.214168    -62.996600
      1.218428    -62.996600
      1.222688    -62.996600
      1.226949    -62.996600
      1.231209    -62.996600
      1.235469    -62.996600
      1.239729    -62.996500
      1.243989    -62.996500
      1.248250    -62.996500
      1.252510    -62.996500
      1.256770    -62.996500
      1.261030    -62.996500
      1.265291    -62.996500
      1.269551    -62.996500
      1.273811    -62.996500
      1.278071    -62.996500
      1.282337    -62.996500
      1.286602    -62.996500
      1.290867    -62.996500
      1.295133    -62.996500
      1.299398    -62.996500
      1.303663    -62.996500
      1.307928    -62.996500
      1.312194    -62.996500
      1.316459    -62.996500
      1.320724    -62.996600
      1.324990    -62.996600
      1.329255    -62.996600
      1.333520    -62.996600
      1.337785    -62.996600
      1.342051    -62.996600
      1.346316    -62.996600
      1.350581    -62.996600
      1.354847    -62.996600
      1.359112    -62.996600
      1.363377    -62.996700
      1.367642    -62.996700
      1.371908    -62.996700
      1.376173    -62.996700
      1.380438    -62.996700
      1.384704    -62.996700
      1.388969    -62.996700
      1.393234    -62.996800
      1.397499    -62.996800
      1.401765    -62.996800
      1.406030    -62.996800
      1.410295    -62.996800
      1.414561    -62.996900
      1.418826    -62.996900
      1.423091    -62.996900
      1.427356    -62.996900
      1.431622    -62.997000
      1.435887    -62.997000
      1.440152    -62.997000
      1.444418    -62.997000
      1.448683    -62.997100
      1.452948    -62.997100
      1.457213    -62.997100
      1.461479    -62.997100
      1.465744    -62.997200
      1.470009    -62.997200
      1.474275    -62.997200
      1.478540    -62.997300
      1.482805    -62.997300
      1.487070    -62.997300
      1.491336    -62.997400
      1.495601    -62.997400
      1.499866    -62.997400
      1.504132    -62.997500
      1.508397    -62.997500
      1.512662    -62.997500
      1.516928    -62.997600
      1.521193    -62.997600
      1.525458    -62.997600
      1.529723    -62.997700
      1.533989    -62.997700
      1.538254    -62.997700
      1.542519    -62.997800
      1.546785    -62.997800
      1.551050    -62.997900
      1.555315    -62.997900
      1.559580    -62.997900
      1.563846    -62.998000
      1.568111    -62.998000
      1.572376    -62.998100
      1.576642    -62.998100
      1.580907    -62.998100
      1.585172    -62.998200
      1.589437    -62.998200
      1.593703    -62.998300
      1.597968    -62.998300
      1.602233    -62.998400
      1.606499    -62.998400
      1.610764    -62.998500
      1.615029    -62.998500
      1.619294    -62.998500
      1.623560    -62.998600
      1.627825    -62.998600
      1.632090    -62.998700
      1.636356    -62.998700
      1.640621    -62.998800
      1.644886    -62.998800
      1.649151    -62.998900
      1.653417    -62.998900
      1.657682    -62.999000
      1.661947    -62.999000
      1.666213    -62.999100
      1.670478    -62.999100
      1.674743    -62.999200
      1.679008    -62.999200
      1.683274    -62.999300
      1.687539    -62.999300
      1.691804    -62.999400
      1.696070    -62.999500
      1.700335    -62.999500
      1.704600    -62.999600
      1.708865    -62.999600
      1.713131    -62.999700
      1.717396    -62.999700
      1.721661    -62.999800
      1.725927    -62.999800
      1.730192    -62.999900
      1.734457    -63.000000
      1.738722    -63.000000
      1.742988    -63.000100
      1.747253    -63.000100
      1.751518    -63.000200
      1.755784    -63.000200
      1.760049    -63.000300
      1.764314    -63.000300
      1.768580    -63.000400
      1.772845    -63.000500
      1.777110    -63.000500
      1.781375    -63.000600
      1.785641    -63.000600
      1.789906    -63.000700
      1.794171    -63.000700
      1.798437    -63.000800
      1.802702    -63.000900
      1.806967    -63.000900
      1.811232    -63.001000
      1.815498    -63.001000
      1.819763    -63.001100
      1.824028    -63.001100
      1.828294    -63.001200
      1.832559    -63.001200
      1.836824    -63.001300
      1.841089    -63.001400
      1.845355    -63.001400
      1.849620    -63.001500
      1.853885    -63.001500
      1.858151    -63.001600
      1.862416    -63.001600
      1.866681    -63.001700
      1.870946    -63.001700
      1.875212    -63.001800
      1.879477    -63.001800
      1.883742    -63.001900
      1.888008    -63.001900
      1.892273    -63.002000
      1.896538    -63.002000
      1.900803    -63.002100
      1.905069    -63.002100
      1.909334    -63.002200
      1.913599    -63.002200
      1.917865    -63.002300
      1.922130    -63.002300
      1.926395    -63.002300
      1.930660    -63.002400
      1.934926    -63.002400
      1.939191    -63.002500
      1.943456    -63.002500
      1.947722    -63.002500
      1.951987    -63.002600
      1.956252    -63.002600
      1.960517    -63.002600
      1.964783    -63.002700
      1.969048    -63.002700
      1.973313    -63.002700
      1.977579    -63.002800
      1.981844    -63.002800
      1.986109    -63.002800
      1.990374    -63.002800
      1.994640    -63.002800
      1.998905    -63.002800
      2.003170    -63.002800
      2.007436    -63.002900
      2.011701    -63.002900
      2.015966    -63.002900
      2.020239    -63.002900
      2.024512    -63.002900
      2.028785    -63.002800
      2.033058    -63.002800
      2.037331    -63.002800
      2.041604    -63.002800
      2.045877    -63.002800
      2.050150    -63.002800
      2.054423    -63.002800
      2.058696    -63.002700
      2.062969    -63.002700
      2.067242    -63.002700
      2.071515    -63.002600
      2.075788    -63.002600
      2.080061    -63.002600
      2.084334    -63.002500
      2.088607    -63.002500
      2.092880    -63.002500
      2.097153    -63.002400
      2.101426    -63.002400
      2.105699    -63.002300
      2.109972    -63.002300
      2.114245    -63.002300
      2.118517    -63.002200
      2.122790    -63.002200
      2.127063    -63.002100
      2.131336    -63.002100
      2.135609    -63.002000
      2.139882    -63.002000
      2.144155    -63.001900
      2.148428    -63.001900
      2.152701    -63.001800
      2.156974    -63.001800
      2.161247    -63.001700
      2.165520    -63.001700
      2.169793    -63.001600
      2.174066    -63.001600
      2.178339    -63.001500
      2.182612    -63.001500
      2.186885    -63.001400
      2.191158    -63.001300
      2.195431    -63.001300
      2.199704    -63.001200
      2.203977    -63.001200
      2.208250    -63.001100
      2.212523    -63.001100
      2.216796    -63.001000
      2.221069    -63.001000
      2.225342    -63.000900
      2.229615    -63.000900
      2.233888    -63.000800
      2.238161    -63.000800
      2.242434    -63.000700
      2.246707    -63.000700
      2.250980    -63.000600
      2.255252    -63.000600
      2.259525    -63.000500
      2.263798    -63.000500
      2.268071    -63.000400
      2.272344    -63.000400
      2.276617    -63.000300
      2.280890    -63.000300
      2.285163    -63.000200
      2.289436    -63.000200
      2.293709    -63.000100
      2.297982    -63.000100
      2.302255    -63.000000
      2.306528    -63.000000
      2.310801    -62.999900
      2.315074    -62.999900
      2.319347    -62.999800
      2.323620    -62.999800
      2.327893    -62.999700
      2.332166    -62.999700
      2.336439    -62.999700
      2.340712    -62.999600
      2.344985    -62.999600
      2.349258    -62.999500
      2.353531    -62.999500
      2.357804    -62.999500
      2.362077    -62.999400
      2.366350    -62.999400
      2.370623    -62.999300
      2.374896    -62.999300
      2.379169    -62.999300
      2.383442    -62.999200
      2.387715    -62.999200
      2.391987    -62.999200
      2.396260    -62.999100
      2.400533    -62.999100
      2.404806    -62.999100
      2.409079    -62.999000
      2.413352    -62.999000
      2.417625    -62.999000
      2.421898    -62.998900
      2.426171    -62.998900
      2.430444    -62.998900
      2.434717    -62.998900
      2.438990    -62.998800
      2.443263    -62.998800
      2.447536    -62.998800
      2.451809    -62.998800
      2.456082    -62.998700
      2.460355    -62.998700
      2.464628    -62.998700
      2.468901    -62.998700
      2.473174    -62.998600
      2.477447    -62.998600
      2.481720    -62.998600
      2.485993    -62.998600
